timestamp,symbol,type,entry,stop_loss,take_profit,atr,rr,notes,outcome,pnl_percentage,exit_price,exit_time,pnl_usd,position_size,balance_after_trade
2025-08-13 14:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,120890.73,122362.14203531,118438.37660781,980.9413568750696,1.67,wyckoff_upthrust,WIN,1.666666666671193,118438.37660781,2025-09-09 01:00:00,174.16811755802578,0.07102080724282997,10624.255171011193
2025-08-13 13:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,121767.97,120193.16203864,124392.6499356,1049.871974241136,1.67,wyckoff_spring,LOSS,-1.0,120193.16203864,2025-09-09 01:00:00,-106.24255171011193,0.06746381420269253,10518.01261930108
2025-08-13 11:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,120570.41,122132.53314015,117966.87143308,1041.4154267691436,1.67,shooting_star,WIN,1.6666666666688066,117966.87143308,2025-09-09 01:00:00,175.30021032190973,0.06733152047341881,10693.31282962299
2025-08-13 09:00:00,BTCUSDT,LONG_HAMMER,120116.02,118639.4867567,122576.90873883,984.3554955305368,1.67,hammer,LOSS,-1.0,118639.4867567,2025-09-09 01:00:00,-106.9331282962299,0.07242175466177658,10586.37970132676
2025-08-13 04:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,119335.01,120685.2685676,117084.57905399,900.172378402636,1.67,shooting_star,WIN,1.6666666666740635,117084.57905399,2025-09-09 01:00:00,176.43966168956237,0.07840261084322074,10762.819363016322
2025-08-11 02:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,121876.0,120616.72074171,123974.79876381,839.5195055255962,1.67,wyckoff_spring,LOSS,-1.0,120616.72074171,2025-09-09 01:00:00,-107.62819363016322,0.0854680905141832,10655.191169386158
2025-08-07 18:00:00,BTCUSDT,LONG_HAMMER,116561.05,115728.69170099,117948.31383168,554.9055326726372,1.67,hammer,LOSS,-1.0000000000000002,115728.69170099,2025-09-09 01:00:00,-106.5519116938616,0.1280120734311101,10548.639257692297
2025-08-07 16:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,116259.24,117140.42559966,114790.59733391,587.4570664371214,1.67,wyckoff_upthrust,WIN,1.6666666666553382,114790.59733391,2025-09-09 01:00:00,175.81065429367663,0.11970961919671096,10724.449911985974
2025-08-07 12:00:00,BTCUSDT,LONG_HAMMER,116390.0,115524.17990976,117833.03348374,577.2133934951745,1.67,hammer,LOSS,-1.0,115524.17990976,2025-09-09 01:00:00,-107.24449911985974,0.12386464616469273,10617.205412866115
2025-08-06 06:00:00,BTCUSDT,LONG_HAMMER,114084.93,113255.75268247,115466.89219588,552.7848783533531,1.67,hammer,LOSS,-1.0,113255.75268247,2025-09-09 01:00:00,-106.17205412866115,0.12804505367432598,10511.033358737453
2025-08-05 14:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,113037.12,112103.97564929,114592.36058452,622.0962338073587,1.67,wyckoff_spring,LOSS,-1.0,112103.97564929,2025-09-09 01:00:00,-105.11033358737454,0.11264102226777724,10405.92302515008
2025-08-05 12:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,113937.35,115044.03311362,112092.87814396,737.7887424155296,1.67,wyckoff_upthrust,WIN,1.6666666666727108,112092.87814396,2025-09-09 01:00:00,173.43205041979695,0.09402802750926614,10579.355075569876
2025-08-04 12:00:00,BTCUSDT,LONG_HAMMER,114444.36,113534.68574588,115960.48375686,606.4495027445786,1.67,hammer,LOSS,-1.0,113534.68574588,2025-09-09 01:00:00,-105.79355075569876,0.11629827960563793,10473.561524814177
2025-08-02 05:00:00,BTCUSDT,LONG_HAMMER,113981.06,113226.64242086,115238.42263191,502.9450527621273,1.67,hammer,LOSS,-1.0,113226.64242086,2025-09-09 01:00:00,-104.73561524814177,0.1388297650321652,10368.825909566034
2025-08-01 22:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,113141.05,113990.8145677,111724.7757205,566.5097117989775,1.67,wyckoff_upthrust,WIN,1.666666666666684,111724.7757205,2025-09-09 01:00:00,172.8137651594357,0.1220199841660929,10541.63967472547
2025-08-01 20:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,113951.09,113036.59164826,115475.25391957,609.6655678266692,1.67,wyckoff_spring,LOSS,-1.0,113036.59164826,2025-09-09 01:00:00,-105.4163967472547,0.1152723747907049,10436.223277978215
2025-08-01 15:00:00,BTCUSDT,LONG_HAMMER,115357.82,114221.03051972,117252.4691338,757.8596535206092,1.67,hammer,LOSS,-1.0,114221.03051972,2025-09-09 01:00:00,-104.36223277978216,0.09180436183670254,10331.861045198433
2025-08-01 15:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,115357.82,114221.03051972,117252.4691338,757.8596535206092,1.67,wyckoff_spring,LOSS,-1.0,114221.03051972,2025-09-09 01:00:00,-103.31861045198434,0.09088631821833552,10228.542434746449
2025-08-01 14:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,115619.8,114366.76583974,117708.1902671,835.3561068405654,1.67,wyckoff_spring,LOSS,-1.0,114366.76583974,2025-09-09 01:00:00,-102.28542434746448,0.08163019620010989,10126.257010398984
2025-08-01 13:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,114352.05,115713.50672024,112082.95546626,907.637813494811,1.67,wyckoff_upthrust,WIN,1.6666666666715764,112082.95546626,2025-09-09 01:00:00,168.77095017381356,0.07437810442196038,10295.027960572797
2025-08-01 04:00:00,BTCUSDT,LONG_HAMMER,115695.52,114421.7076791,117818.54053483,849.2082139336997,1.67,hammer,LOSS,-1.0000000000000002,114421.7076791,2025-09-09 01:00:00,-102.95027960572799,0.08082060278156919,10192.07768096707
2025-08-01 00:00:00,BTCUSDT,LONG_HAMMER,115427.27,114059.37641472,117707.09264214,911.929056855486,1.67,hammer,LOSS,-1.0,114059.37641472,2025-09-09 01:00:00,-101.9207768096707,0.07450928778849976,10090.156904157398
2025-08-01 00:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,115427.27,114059.37641472,117707.09264214,911.929056855486,1.67,wyckoff_spring,LOSS,-1.0,114059.37641472,2025-09-09 01:00:00,-100.90156904157398,0.07376419491061476,9989.255335115824
2025-07-30 10:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,118020.18,119234.37647397,115996.51921005,809.4643159798717,1.67,shooting_star,WIN,1.6666666666666545,115996.51921005,2025-09-09 01:00:00,166.48758891859586,0.08227050192671366,10155.742924034419
2025-10-20 17:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,110516.71,112294.41795498,107553.86340837,1185.1386366524907,1.67,shooting_star,IN_PROGRESS,0.0,,,0.0,0.057128297680080396,10155.742924034419
2025-10-20 16:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,110683.19,108904.63439895,113647.44933509,1185.703734034456,1.67,wyckoff_spring,IN_PROGRESS,0.0,,,0.0,0.057101070767980516,10155.742924034419
2025-10-20 09:00:00,BTCUSDT,LONG_HAMMER,110964.13,109559.04671978,113305.93546703,936.7221868138862,1.67,hammer,IN_PROGRESS,0.0,,,0.0,0.07227858353310045,10155.742924034419
2025-10-20 06:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,111298.55,110026.06919401,113419.35134332,848.3205373287565,1.67,wyckoff_spring,IN_PROGRESS,0.0,,,0.0,0.07981057848753242,10155.742924034419
2025-10-20 00:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,108047.46,109614.47025727,105435.77623788,1044.6735048485425,1.67,wyckoff_upthrust,LOSS,-0.9999999999999999,109614.47025727,2025-10-20 17:00:00,-101.55742924034418,0.06480967738990728,10054.185494794076
2025-10-17 15:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,106803.53,105672.530497,108688.52917167,753.999668668895,1.67,wyckoff_spring,WIN,1.6666666666696175,108688.52917167,2025-10-20 17:00:00,167.5697582468646,0.08889646253712001,10221.75525304094
